Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,setosa,versicolor,virginica
0.194444444,0.125,0.389830508,0.375,versicolor,0,1,0
0.666666667,0.458333333,0.627118644,0.583333333,versicolor,0,1,0
0.333333333,0.916666667,0.06779661,0.041666667,setosa,1,0,0
0.194444444,0.666666667,0.06779661,0.041666667,setosa,1,0,0
0.472222222,0.083333333,0.677966102,0.583333333,virginica,0,0,1
0.194444444,0.625,0.101694915,0.208333333,setosa,1,0,0
0.361111111,0.333333333,0.661016949,0.791666667,virginica,0,0,1
0.333333333,0.125,0.508474576,0.5,versicolor,0,1,0
0.472222222,0.416666667,0.644067797,0.708333333,virginica,0,0,1
0.527777778,0.083333333,0.593220339,0.583333333,versicolor,0,1,0
0.611111111,0.416666667,0.762711864,0.708333333,virginica,0,0,1
0.666666667,0.541666667,0.796610169,1,virginica,0,0,1
0.388888889,0.75,0.118644068,0.083333333,setosa,1,0,0
0.222222222,0.75,0.152542373,0.125,setosa,1,0,0
0.666666667,0.458333333,0.779661017,0.958333333,virginica,0,0,1
0.305555556,0.791666667,0.118644068,0.125,setosa,1,0,0
0.305555556,0.583333333,0.084745763,0.125,setosa,1,0,0
0.722222222,0.458333333,0.694915254,0.916666667,virginica,0,0,1
0.722222222,0.5,0.796610169,0.916666667,virginica,0,0,1
0.138888889,0.416666667,0.06779661,0.083333333,setosa,1,0,0
0.777777778,0.416666667,0.830508475,0.833333333,virginica,0,0,1
0.277777778,0.708333333,0.084745763,0.041666667,setosa,1,0,0
0.555555556,0.583333333,0.779661017,0.958333333,virginica,0,0,1
0.944444444,0.75,0.966101695,0.875,virginica,0,0,1
0.138888889,0.458333333,0.101694915,0.041666667,setosa,1,0,0
0.361111111,0.375,0.440677966,0.5,versicolor,0,1,0
0.611111111,0.416666667,0.813559322,0.875,virginica,0,0,1
0.194444444,0.5,0.033898305,0.041666667,setosa,1,0,0
0.861111111,0.333333333,0.86440678,0.75,virginica,0,0,1
0.805555556,0.666666667,0.86440678,1,virginica,0,0,1
0.027777778,0.375,0.06779661,0.041666667,setosa,1,0,0
0.333333333,0.25,0.576271186,0.458333333,versicolor,0,1,0
0.805555556,0.416666667,0.813559322,0.625,virginica,0,0,1
0.166666667,0.208333333,0.593220339,0.666666667,virginica,0,0,1
0.611111111,0.416666667,0.711864407,0.791666667,virginica,0,0,1
0.5,0.416666667,0.661016949,0.708333333,virginica,0,0,1
0.666666667,0.416666667,0.677966102,0.666666667,versicolor,0,1,0
0.083333333,0.458333333,0.084745763,0.041666667,setosa,1,0,0
